Army,UnitNumber,Details,Physical,HitChance,Cost,Limit,Override,HitAlive,Fire DMG,Fire Time,Bleed DMG,Bleed Time,Magic Damage,Poision DMG,Poison Time,Stun Time,Sleep Time,Confusion Time,Petrification Time,RecoverHealth,AddTempHealth,AddHealth,RecoverArmor,RecoverShield,AddArmor,AddShield
goblin,Value Attached to Unit,,Base Stat,Roll to hit,,,,,Dmg + Time,,Dmg + Time,,Dmg,,,,,,,,,,,,,
,0,Goblin Militia,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,12,,,,,,,,,,,,,,,,,,,,,,,
,,AC,14,,,,,,,,,,,,,,,,,,,,,,,
,,AR,2-1,,,,,,,,,,,,,,,,,,,,,,,
,,SH,,,,,,,,,,,,,,,,,,,,,,,,
,,TH,,,,,,,,,,,,,,,,,,,,,,,,
,,AP,1,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,basic_Chop,4,1d20+3,1,,,TRUE,|,,,,,,,,,,,,,,,,,
,,skill_Barrel roll,4_5(50%),1d20,3,,,,,,,,,,,,,,,,,,,,,
,,ability_Rally,,Free,,1,,,,,,,,,,,,,,,0x1_2_3|1x0_2_3|2x0_1_3|3x0_1_2,,,,,
,1,Pumpkin thrower,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,6,,,,,,,,,,,,,,,,,,,,,,,
,,AC,12,,,,,,,,,,,,,,,,,,,,,,,
,,AR,,,,,,,,,,,,,,,,,,,,,,,,
,,SH,,,,,,,,,,,,,,,,,,,,,,,,
,,TH,,,,,,,,,,,,,,,,,,,,,,,,
,,AP,2,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,skill_PumpkinThrow,4_5_6_7,1d20,3,,skill_PumpkinThrow,,,,,,,,,,,,,,,,,,,
,2,Goblenni,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,,,,,,,,,,,,,,,,,,,,,,,,
,,AC,,,,,,,,,,,,,,,,,,,,,,,,
,,AR,,,,,,,,,,,,,,,,,,,,,,,,
,,SH,,,,,,,,,,,,,,,,,,,,,,,,
,,TH,,,,,,,,,,,,,,,,,,,,,,,,
,,AP,,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
roman,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,John roman,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,12,,,,,,,,,,,,,,,,,,,,,,,
,,AC,12,,,,,,,,,,,,,,,,,,,,,,,
,,AR,,,,,,,,,,,,,,,,,,,,,,,,
,,SH,,,,,,,,,,,,,,,,,,,,,,,,
,,TH,,,,,,,,,,,,,,,,,,,,,,,,
,,AP,,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,ability_FlameOn,0_1_2_3,,4,2,ability_FlameOn,,,,,,,,,,,,,,,,,,,
TEST,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,John test 1,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,9,,,,,,,,,,,,,,,,,,,,,,,
